Authors,Author(s) ID,Title,Label_01,Label_02,Abstract,Year,Source title,Author Keywords,text
"Biswas S.R., Uddin M.A., Bhattacharjee S., Dey M., Rana T.",57209311381;55934057700;57217778841;57222112397;57200578931;,Ecocentric leadership and voluntary environmental behavior for promoting sustainability strategy: The role of psychological green climate,style_ecocentric,leadership_style,"Sustainability is not just a “buzzword” but refers to the ideal business strategy for encouraging sustainable behavior for remaining relevant and competitive. Managers of organizations are increasingly expected to duly consider and demonstrate the desired social and environmental intentions of translating leadership strategies into sustainable practices. Studies on employees' voluntary environmental behavior (VEB) are increasing in number, in that it is believed that behavior can contribute to achieving organizational sustainability strategy. However, despite the studies being published on this emerging field, leadership is a missing link regarding the psychological mechanism through which VEB can be defined and refined. Drawing on the theories of social learning and social exchange, this study seeks to establish the impact of ecocentric leadership (EL) on VEB and the mediating role of psychological green climate (PGC) in this nexus. Data were collected from wide-ranging business organizations in Bangladesh through a self-administered survey questionnaire. The results indicate that EL wields a significant direct influence on VEB. Moreover, EL through the mediating effect of PGC indirectly shapes VEB. The study contributes original insights to the discussions and debates on strategic leadership and climate accountability. Implications of ecocentric strategic leadership and recommendations for future research are discussed. © 2022 ERP Environment and John Wiley & Sons Ltd.",2022,Business Strategy and the Environment,ecocentric leadership; psychological green climate; social exchange theory; social learning theory; sustainability strategy; voluntary environmental behavior,ecocentric leadership; psychological green climate; social exchange theory; social learning theory; sustainability strategy; voluntary environmental behavior
"Navarro J., Rueff-Lopes R., Rico R.",24435235400;55515660300;8340800100;,New nonlinear and dynamic avenues for the study of work and organizational psychology: an introduction to the special issue,organizational,organizational,"Nonlinear and dynamic approaches are two main principles of complex systems. The work and organizational psychology field has recently applied these concepts to understand human behaviour at work. In this introductory paper, we describe how human behaviour at work can be understood from a nonlinear and dynamic perspective, developing and applying the advantages of this approach to continue moving beyond the frontiers of our knowledge. We focus on the theoretical, methodological, and epistemological implications of the nonlinear dynamic approach in the field. Then, we present the five papers included in this special issue. These papers have applied nonlinear and dynamic concepts to understand a wide range of phenomena: subordinates-supervisors relationships, team behaviour, deviant workplace behaviour, transformational leadership, and training transfer. Overall, these papers demonstrate the utility of nonlinear dynamics in our field and how we can create more time-sensitive and complex knowledge by paying special attention to when and how phenomena happen and how such phenomena interrelate over time. © 2020, © 2020 Informa UK Limited, trading as Taylor & Francis.",2020,European Journal of Work and Organizational Psychology,epistemology; Nonlinear dynamics; psychological research; work and organizational psychology,epistemology; Nonlinear dynamics; psychological research; work and organizational psychology
"Maheshwari S.K., Yadav J.",57200529168;57193416263;,The role of HR in leadership development,organizational,organizational,"Purpose: Business environments have become more complex, dynamic, and uncertain in the past few decades. To navigate this complexity, organizations need to enhance their competitiveness, improve performance, and build leadership. Though leadership contributes to strategic advantage, the challenge for human resources (HR) to build the next generation of leaders remains. This has sparked the need for practitioners to understand the role of HR in enhancing leadership capability. Design/methodology/approach: Using qualitative analysis and practitioner insights, this paper contributes to the understanding of the role of HR in leadership development. Findings: The study proposes the HR PACE model for the role of HR in leadership development. Practical implications: This study has potentially significant implications for HR, leadership development scholars, and practitioners while designing and implementing leadership development in organizations. Originality/value: While empirical studies on how HR practices of recruitment, performance management, training, and development impact organizations exist, there are rare studies assessing the role of HR in leadership development. This study examines the role of HR in leadership development. © 2019, Emerald Publishing Limited.",2019,Development and Learning in Organizations,HR development; HR learning; Human resources; Leadership development; Role of human resources,HR development; HR learning; Human resources; Leadership development; Role of human resources
Głód W.,57193420743;,Transformational leadership style in the relationship between innovation and efficiency of healthcare units in Poland,style_transformational,leadership_style,"Research background: In today's turbulent times, organizations face the challenge of fulfilling many complex requirements while at the same time they have to adjust to ongoing changes. The necessary changes that would allow for resolving these problems should, first of all, involve a new approach to human resource management and, in particular, the role of leadership in healthcare units. Numerous studies conducted over the years confirm the growing importance of leadership in modern organizations, especially in the healthcare sector. Purpose of the article: The main goal of the project is to identify the relationships between innovative leadership and the organizational efficiency of healthcare units in the context of innovation levels. The article discusses the research hypotheses concerning the existence of a relationship between management innovation and transformational leadership style in healthcare units, the existence of a relationship between transformational leadership style and the efficiency of healthcare units, the existence of a relationship between management innovation and the efficiency of healthcare units. Methods: The survey was conducted in 100 randomly selected healthcare units in Poland. The analysis of interdependencies was performed, among others, with the use of the Pearson product-moment correlation coefficient, Spearman's rank correlation coefficient, the Kendall rank correlation coefficient, the coefficient of colligation, and a chi-squared test, while the measures were chosen based on their adequacy for correlated variables and their distribution. In order to verify the hypotheses formulated in the study, a number of statistical methods were applied, e.g. descriptive statistics and correlation analysis Findings & Value added: The key result of the study identifies the role of transformational leader-ship style in the relationship between the level of innovativeness and efficiency in healthcare units. The article also points to practical implications that may contribute to improved management practices in healthcare units. © 2018 Revista Critica de Ciencias Sociais. All rights reserved.",2018,Oeconomia Copernicana,Healthcare units; Innovation; Transformational leadership,Healthcare units; Innovation; Transformational leadership
"Becker L., Coussement K., Büttgen M., Weber E.",57226258746;16308940700;55208211300;57218481559;,Leadership in innovation communities: The impact of transformational leadership language on member participation,style_transformational,leadership_style,"Many organizations seek to establish online innovation communities (ICs) to obtain valuable knowledge and innovative ideas, though both research and practice suggest that they also struggle to sustain continued, high-quality member participation. Designated IC moderators might be able to stimulate IC members to participate regularly and make high-quality contributions. In response to calls to integrate organizational behavior and IC research, this study addresses the impact of community moderators’ uses of transformational leadership (TFL) language on member participation. By operationalizing the TFL dimensions—charisma, individualized consideration, and intellectual stimulation—with language cues, this article uses an automated text analysis approach to review 64 firm-hosted ICs with 538,805 posts, analyzed with two hierarchical linear models. The findings show that moderators’ charismatic language cues enhance members’ participation quality and quantity. Although individualized consideration and intellectual stimulation increase participation quality, they decrease participation quantity. Organizations thus should assign moderators to lead ICs by using TFL language strategically, in accordance with the focal IC goals, in terms of the quality and quantity of member contributions to their innovation processes. This article contributes to the literature by exploring how leadership language in online communities can facilitate the development of innovative ideas. In addition, this study offers a more nuanced view on the effects of TFL by revealing both positive and negative outcomes in firm-hosted online ICs and it introduces a new, objective measure of TFL built on linguistic markers. This article also includes specific guidelines for how moderators can achieve effective leadership through their language use, as well as managerial implications for the effective selection, training, and support of IC moderators. © 2021 The Authors. Journal of Product Innovation Management published by Wiley Periodicals LLC on behalf of Product Development & Management Association.",2022,Journal of Product Innovation Management,innovation communities; language; text analysis; transformational leadership; user participation,innovation communities; language; text analysis; transformational leadership; user participation
"Tuan L.T., Rowley C., Masli E., Le V., Phuong Nhi L.T.",36640695200;57188533961;56165834200;56385169600;57222023754;,Nurturing service-oriented organizational citizenship behavior among tourism employees through leader humility,style_humble,leadership_style,"Though the effectiveness of leader humility has been established, does leader humility activate followers to serve customers in the tourism sector beyond their assigned roles? Our study aims to address this question by drawing upon the conservation of resources theory to propose that leader humility promotes service-oriented organizational citizenship behavior (service-oriented OCB) among tourism employees through the mediating role of their job crafting. Our study further assumes the moderating role of socially responsible human resource practices (SRHR practices) for the relationship between leader humility and employee job crafting. Utilizing a two-wave research design, the study garnered the data from 894 employees and 136 managers working in tour companies based in Vietnam. The analysis of the data via the multilevel structural equation modelling lent credence to the proposed research model. Our study not only advances the leadership humility literature in the tourism discipline but also provides a guideline for practitioners on how to optimally adopt leader humility in promoting service-oriented OCB among tourism employees. © 2021 The Authors",2021,Journal of Hospitality and Tourism Management,Job crafting; Leader humility; Service-oriented OCB; Socially responsible human resource practices; Vietnam,Job crafting; Leader humility; Service-oriented OCB; Socially responsible human resource practices; Vietnam
"Prasad S., Baltov M., Neelakanteswara Rao A., Lanka K.",57220022357;35361689200;6507018202;57006720500;,Interdependency analysis of lean manufacturing practices in case of Bulgarian SMEs: interpretive structural modelling and interpretive ranking modelling approach,organizational,organizational,"Purpose: The paper aims to analyse the contextual relationship and dependency amongst enablers for lean manufacturing implementation in Bulgarian small and medium-sized enterprises (SMEs). Design/methodology/approach: In this study, the interpretive structural modelling (ISM) technique was used to develop a hierarchical structural model for enablers. Also, the interpretive ranking process (IRP) was used to analyse and rank enablers with reference to performance variables. For the ISM approach, a structural self- integration matrix was developed with the help of experts’ suggestions and opinions. Cross-impact matrix multiplication applied to classification (MICMAC) analysis was used to analyse the relationship amongst enablers. A total of nine experts were chosen for collecting the primary data in which seven experts belong to the industry and two experts were academicians. The dominant relationship amongst the enablers was analysed through IRP modelling. Findings: A total of 11 enablers were identified for the purpose of this study. The model shows that “leadership and commitment by management”, “human resource management”, “customer relation management”, “supplier relation management” and “information technology system” are the most significant enablers for lean implementation in Bulgarian SMEs as these are positioned at the bottom levels in ISM model. MICMAC analysis shows that five enablers fall in the independent factor, two enablers in linkage factor and four enablers in the dependant factor while there is no enabler in the autonomous factor. ISM and IRP models show that “continuous improvement” is an essential enabler for the successful implementation of lean in Bulgarian SMEs. This study also helps to explain the comparative analysis of ISM and IRP, which indicates that IRP is a more robust modelling approach than ISM, as it incorporates the relationship of enablers with performance variables. Research limitations/implications: ISM and IRP modelling approaches are based solely on expert opinions and responses. This limitation can be overcome with the help of empirical study. Practical implications: This study supports the professionals/experts to prioritise and manage enablers at strategic and tactical levels while implementing lean manufacturing practices in Bulgarian SMEs. The models developed in the study will be helpful for practitioners to understand and analyse the interdependence of enablers for lean manufacturing implementation. Originality/value: This study helps to identify and prioritise enablers that affect lean manufacturing adoption using ISM and IRP approaches. Literature shows that numerous authors have used the ISM approach but the use of IRP approach is limited. The models were developed in the study, totally dependent on data collected from the experts to ensure their real-life validity. © 2020, Emerald Publishing Limited.",2020,International Journal of Lean Six Sigma,Interpretive ranking process; Interpretive structural modelling; Lean manufacturing,Interpretive ranking process; Interpretive structural modelling; Lean manufacturing
"Li J., Shi W., Dasborough M.T.",57216935500;57192212933;12779535700;,Chief executive officer positive framing and employee ownership,organizational,organizational,"Employee ownership is an important governance tool used to encourage employee participation and enhance employee productivity, but we know little about what encourages employee ownership. This study investigates the influence of chief executive officer (CEO) positive framing in public speeches on employee ownership. We propose that CEO positive framing can increase employee ownership when employees internalize CEOs' positive beliefs about firms' accomplishments and prospects. Using a sample of 664 U.S. listed firms from 2002 to 2018, we find that CEO positive framing increases employee ownership. In addition, the stock purchasing behaviors of top executives, analyst recommendations, and positive media coverage strengthen the effectiveness of CEOs' positive framing on employee ownership. Findings from this study advance employee ownership research by highlighting the vital role of CEOs' public language use in promoting employee ownership. © 2021 Wiley Periodicals LLC.",2021,Human Resource Management,employee ownership; framing theory; human resource management; language positivity; leadership,employee ownership; framing theory; human resource management; language positivity; leadership
"Jones S.A., Michelfelder D., Nair I.",7405936653;35368934900;7004553313;,Engineering managers and sustainable systems: the need for and challenges of using an ethical framework for transformative leadership,style_transformational,leadership_style,"Despite multiple efforts, achieving sustainable societies remains an elusive target that will require transformative change at all levels. While such change has to start at the top of an organization, its success depends on effective implementation. For technical organizations, sustainability implementation rests in a large part with the many engineering teams responsible for meeting client needs and organizational targets. Project and line managers have to influence those team members to adopt the moral characteristics necessary to engineer sustainable projects as part of everyday practice. To support their leadership efforts, we draw on care ethics and sustainability ethics in the form of an engineering ethic to propose a framework to orient and ground the reflective practices of those engineering managers. We discuss the challenges involved with internalizing this framework and suggest future empirical work needed before the framework can be operationalized. Embedding sustainability in daily engineering practice has to evolve at the professional level by formulating and propagating the relevant engineering codes, and evolve at the educational level by making sustainability part of the formal engineering curriculum. © 2015 Elsevier Ltd",2017,Journal of Cleaner Production,Engineering; Engineering manager; Ethics of care; Sustainable systems; Transformational leadership,Engineering; Engineering manager; Ethics of care; Sustainable systems; Transformational leadership
"Lei H., Ha A.T.L., Le P.B.",35332493300;57212405352;57195310056;,How ethical leadership cultivates radical and incremental innovation: the mediating role of tacit and explicit knowledge sharing,style_ethical,leadership_style,"Purpose: The purpose of this paper is to examine the effect of ethical leadership on radical and incremental innovation through the mediating roles of tacit and explicit knowledge sharing (KS). Design/methodology/approach: The paper used a quantitative research method and structural equation modeling to test the research hypotheses based on a sample of 365 participants from 115 Vietnamese firms. Findings: The results indicated that ethical leadership is positively related to radical and incremental innovation. In addition, tacit and explicit KS significantly mediate the relationship between ethical leadership and the two types of innovation. Research limitations/implications: This study is cross-sectional, which limits its ability to control the specific features of the correlations among the factors in the long term. Practical implications: The findings of this study suggest that leaders should invest in practicing and applying a moral lens to motivate positive KS behaviors of employees and organizational capabilities for innovation. Originality/value: This study significantly fills gaps in the literature and advances the understanding of how ethical leadership fosters employees’ KS to improve radical and incremental innovation. © 2019, Emerald Publishing Limited.",2020,Journal of Business and Industrial Marketing,Ethical leadership; Explicit knowledge sharing; Incremental innovation; Innovation; Radical innovation; Tacit knowledge sharing innovation capability,Ethical leadership; Explicit knowledge sharing; Incremental innovation; Innovation; Radical innovation; Tacit knowledge sharing innovation capability
El Hawi R.,57209361573;,Transformational leadership and rhetoric competencies for organizational success: Analysis of Jack's rhetoric,style_transformational,leadership_style,"The topic of leadership style has attracted considerable attention from both academics and practitioners. Contemporary theories about leadership argue that the psychological make-up of leaders can reflect their leadership style within their organizations. In other words, understanding leaders charisma would lead to an understanding of their influential actions. Charisma can be equated with transformational or inspiring behavior and both concepts play major roles in an organizations success. Transformational leaders are able to influence others through their behavior and their speech, using a high style of speech to produce a sense of attraction and admiration. Their language and rhetoric can play an essential role at the organizational level. In this article, we aim to focus on leaders speeches in contemporary dialogue, trying to determine their leadership style. We selected Jacks (an acknowledged charismatic leader) rhetoric as seen in one of his speeches, aiming to analyze and highlight the link between rhetoric and transformational behavior. Possible conclusions may be that leaders rhetoric can determine their leadership style, determining an organizations success. The research will conclude a number of key theoretical and practical implications that may emphasize the crucial role of leadership rhetoric for the prospects and development of an organization, which may be a key to success and innovation; it will help managers understand how to inspire employees through their speech for the benefit of the organization and society. © BEIESP.",2019,International Journal of Recent Technology and Engineering,Organizations' performance; Rhetoric; Transformational Behavior,Organizations' performance; Rhetoric; Transformational Behavior
"Agarwal U.A., Dixit V., Nikolova N., Jain K., Sankaran S.",57200846387;51563535300;26656106300;23110890000;36763528100;,A psychological contract perspective of vertical and distributed leadership in project-based organizations,organizational,organizational,"The primary purpose of this study is to examine the relationship between two leadership styles (vertical and distributed), conceptualized through types of decisions made (strategic and operational/tactical), and the state of psychological contract (fulfillment/breach) at three different levels of the organizational hierarchy in project-based organizations. The explorative analysis of eight organizations from India and Australia demonstrates the prevalence of distributed leadership: operational and technical decisions are usually entrusted to the project team and project managers, while strategic decisions are made by senior management. The study suggests that three factors facilitate a specific leadership style (vertical or distributed): organizational culture, knowledge sharing and project management practices, which in turn impact the state of psychological contract (fulfillment/breach). A flexible, collaborative organizational culture supports knowledge sharing and the adoption of agile methods, enabling distributed leadership and leading to psychological contract fulfillment. © 2020",2021,International Journal of Project Management,Distributed leadership; Organizational culture; Psychological contract; Psychological contract breach; Psychological contract fulfilment; Vertical leadership,Distributed leadership; Organizational culture; Psychological contract; Psychological contract breach; Psychological contract fulfilment; Vertical leadership
"Nørskov S., Kesting P., Ulhøi J.P.",52364468100;55993481900;6603612816;,Deliberate change without hierarchical influence? The case of collaborative OSS communities,organizational,organizational,"Purpose: This paper aims to present that deliberate change is strongly associated with formal structures and top-down influence. Hierarchical configurations have been used to structure processes, overcome resistance and get things done. But is deliberate change also possible without formal structures and hierarchical influence? Design/methodology/approach: This longitudinal, qualitative study investigates an open-source software (OSS) community named TYPO3. This case exhibits no formal hierarchical attributes. The study is based on mailing lists, interviews and observations. Findings: The study reveals that deliberate change is indeed achievable in a non-hierarchical collaborative OSS community context. However, it presupposes the presence and active involvement of informal change agents. The paper identifies and specifies four key drivers for change agents’ influence. Originality/value: The findings contribute to organisational analysis by providing a deeper understanding of the importance of leadership in making deliberate change possible in non-hierarchical settings. It points to the importance of “change-by-conviction”, essentially based on voluntary behaviour. This can open the door to reducing the negative side effects of deliberate change also for hierarchical organisations. © 2017, © Emerald Publishing Limited.",2017,International Journal of Organizational Analysis,Change agents; Change by conviction; Deliberate change; Hierarchical influence; Open-source communities,Change agents; Change by conviction; Deliberate change; Hierarchical influence; Open-source communities
"Sokolova M., Zubr V., Cierniak-Emerych A., Dziuba S.T.",54788299100;56330690100;57203872964;56950962900;,The level of organizational culture as a constant challenge for company management – An empirical research in the Czech Republic and Poland,organizational,organizational,"Organizational culture (OC) is a concept, which is defi ned from many different perspectives. For example, Schein defi nes culture as a pattern of shared fundamental assumptions learned by a group as it overcomes both external adaptation and internal integration obstacles, whereby group member use is effi cient enough to be considered valuable and which is taught to new members as the right way of meandering through the equivalent future obstacles. According to Dubkēvič and Barbars OC comprises structured behaviour (especially leadership style), language, rituals, ceremonies, myths, heroes, etc. The aim of this study is to examine the level of organizational culture in the Czech Republic and Poland, i.e. to make a comparison. In the questionnaire survey’s framework, 1,574 questionnaires were received in the Czech Republic, 1,476 questionnaires were processed, 433 questionnaires were received in Poland and 360 questionnaires were included in the evaluation for the same reason as the Czech questionnaires. Since it has been a long-term study in the Czech Republic, more respondents were recruited, in Poland it was the fi rst survey within the co-operation – pilot version. The obtained data was evaluated using Microsoft Excel 2016 and IBM SPSS v. 24. Descriptive statistics tools, correlation and nonparametric Mann-Whitney U-test were used to evaluate the data at signifi cance level p = 0.05. The results show that innovative culture is a better model than bureaucratic or supportive culture. Managers should develop an innovative and supportive culture. There are statistically signifi cant differences in innovative organizational culture index evaluation between the Czech Republic and Poland. Statistically signifi cant difference was observed in the organizational culture index evaluation, mainly depending on the organization’s size and on the respondent’s job position in the Czech Republic. The statistically signifi cant difference in the organizational culture index evaluation in Poland was demonstrated depending on the organization’s size. © 2017, Technical University of Liberec. All rights reserved.",2019,E a M: Ekonomie a Management,Czech Republic; Organizational culture; Poland; Wallach,Czech Republic; Organizational culture; Poland; Wallach
Land S.K.,8585943800;,The Importance of Deliberate Team Building: A Project-Focused Competence-Based Approach,organizational,organizational,"Strong teams do not happen by chance. Putting together a group of highly skilled individuals will not necessarily result in a top performing team. Team building can have lasting, positive, and measurable effects on team performance. However, it is important that you keep the activities project-focused and avoid situations that feel awkward or artificial. This paper describes how to build motivated and cohesive technical teams using a deliberate team building approach, which is a different way for technical managers to think about team building and describe techniques successfully employed that differ from the classic, sometimes less successful, team bonding exercises used with technical professionals. © 1973-2011 IEEE.",2019,IEEE Engineering Management Review,Leadership; organizational culture; project teams; social psychology; team building; technology management; technology organization,Leadership; organizational culture; project teams; social psychology; team building; technology management; technology organization
"Panicker A., Agrawal R.K., Khandelwal U.",57194902951;57035557100;55848221100;,"Inclusive workplace and organizational citizenship behavior: Study of a higher education institution, India",organizational,organizational,"Purpose: The purpose of this paper is to examine the relationship between employees’ perception of an inclusive workplace, namely, inclusive practices, inclusive climate and inclusive leadership and organizational citizenship behavior (OCB). It also attempts to examine the difference in perception toward the inclusive workplace along the three major dimensions of diversity, namely, gender, category they belong to and their religious orientation. Design/methodology/approach: Non-probability sampling technique is employed to collect primary data through a self-administered questionnaire from 492 academicians of a higher education institution situated in western Uttar Pradesh of India. The data set was analyzed using statistical tools like descriptive statistics (z-test and ANOVA), and multiple regression analysis. Findings: Results of the multiple regression analysis reflected direct and significant relationship between inclusive workplace and OCB. It has been observed that organizations with a conducive climate of inclusion, a well formulated inclusive practices and strong leaders’ commitment will result into high level of OCB which is apparent among employees working in a higher education institution western Uttar Pradesh. The results of z-test reflected that male and female employees have similar perception toward inclusive climate. However, there is a significant difference in perception toward inclusive practices and inclusive leadership on OCB. On the other hand, results of ANOVA reflected that with respect to religious orientation there is no significant difference among perceptions toward inclusive workplace. However in case of category employees have similar perception toward inclusive climate in contrast with inclusive practices and inclusive leadership. Research limitations/implications: The present study established the concept of inclusive workplace, entirely on the basis of individual viewpoint. While to examine the cause and effect relationship of an inclusive workplace on OCB, it is recommended to incorporate some moderating or intervening variables. Practical implications: This study provides guidelines for academic institutions to understand and foster an inclusive workplace that will encourage the academicians to exhibit OCB. Originality/value: Very little research had examined the relationship between inclusive workplace and OCB. This research will add value to the existing literature on inclusive workplace and its probable impact on organizations and individuals by examining this relationship with respect to gender, category and religious orientation of employees working in higher educational institution of India. © 2018, Emerald Publishing Limited.",2018,"Equality, Diversity and Inclusion",Higher education institution; Inclusive workplace; Organizational citizenship behaviour; Workforce diversity,Higher education institution; Inclusive workplace; Organizational citizenship behaviour; Workforce diversity
"Surty S., Scheepers C.B.",57213836873;57191675445;,Moderating effect of environmental dynamism on leadership practices and employees’ response to change in South Africa,organizational,organizational,"Purpose: The environment has become increasingly dynamic, characterised by hyper turbulence and high-velocity. While research has confirmed the influence of leadership on the effectiveness of change, the author knows less about how increased environmental dynamism influences the relationship. This study aims to investigate how this relationship is impacted under highly uncertain and dynamic external conditions. Design/methodology/approach: To investigate the moderating effect of environmental dynamism on leadership practices and employees’ response to change, 1,536 employees’ survey responses were analysed from various organisations in South Africa. Moderator regression models were used to examine relationships. Findings: Environmental dynamism has a slight significant strengthening effect on the relationship between leadership practices and response to change, with regard to commitment to the change; efficacy, that is, the belief in whether the change will lead to the efficacy of the organisation; and valence or attractiveness of the change. However, no significant positive moderator effect on the impact of leadership practices on active support for change. Tenure as control variable also did not have a significant influence on the model. Practical implications: Organisations must take note that under dynamic conditions: employees’ belief about the efficacy of change is influenced by leadership practices, but not the active support for the change. Leadership must, thus, check whether employees’ positive responses are indeed going over in action to implement change. Originality/value: This study contributes an important moderator effect: the more dynamic the environment, the greater the impact leadership practices have on employee response to change. © 2020, Emerald Publishing Limited.",2020,Management Research Review,Change management; Change response; Environmental dynamism; Leadership; Moderator effect; Organizational behaviour; Organizational development; Quantitative study,Change management; Change response; Environmental dynamism; Leadership; Moderator effect; Organizational behaviour; Organizational development; Quantitative study
"AZIS P., AMIR M.T.",57221328809;57205750281;,Examining the Intrapreneurship Drivers and Strategy: Case Study of Property Services in Indonesia,organizational,organizational,"This study examines the drivers and implementation of intrapreneurship strategy in a property service company. Using a qualitative case study approach, the study interviewed four managers involved in related intrapreneurship initiatives. The data was validated by an expert and a practitioner from a different company. The implementation of the company's intrapreneurship strategy is limited to improving new ways of working and developing products and services. However, business development and the creation of new business models are still limited. From several intrapreneurship driving factors, it was observed that the company practices are considered adequate with regard to top management support, leadership, flexibility in carrying out work, as well as in fairly harmonious arrangements for ongoing business relationships with the intrapreneurship projects. On the other hand, human resources with entrepreneurial behavior are still minimal. Similarly, the driving factors in reward and training that promote entrepreneurial behavior are also considered to be insufficient. The application of intrapreneurship as a strategy requires understanding and commitment from all parties in the organization. This study provides insight into the Indonesian context and proposes that intrapreneurship initiatives are less likely to succeed if they are not supported by developing a more systematic entrepreneurial mindset, behavior, and culture. © 2020. All rights reserved.",2020,"Journal of Asian Finance, Economics and Business",Business Development; Entrepreneurial Behavior; Flexibility; Intrapreneurship; Management Support,Business Development; Entrepreneurial Behavior; Flexibility; Intrapreneurship; Management Support
"Mahdikhani M., Yazdani B.",57215875669;51666469300;,Transformational leadership and service quality in e-commerce businesses: The role of trust and team performance,style_transformational,leadership_style,"Purpose: The purpose of this paper is to examine the transformational leadership and service quality in the businesses active in the field of e-commerce with the mediating role of trust and team performance. Design/methodology/approach: Survey questionnaires were administered on a 384-subject sample of the employees of the teams working in electronic businesses in Iran. The structural equation modeling and partial least square techniques were used to analyze the data. Findings: The results showed that transformational leadership has a positive impact on service quality and improves team performance. The effect of transformational leadership on the interpersonal trust and the trust on the team performance are also positive and significant. In summary, the improved performance also has a positive impact on service quality. Research limitations/implications: The main limitation is the assessment by questionnaire because the questionnaires measure the attitudes of individuals, not the facts as they are, and the attitudes of individuals usually involve personal judgments and prejudices in the research. Also, examining the research model in different cultural domains may provide different results because of being influenced by different cultures. Hence, the authors recommend that the findings should be examined in other communities with different cultures. Originality/value: Evaluating the impact of the transformational leadership on service quality (SERVPERF scale) by a survey of team trust and performance in e-business is an innovation in the influence assessment of these variables. The present research is considered applicable to the management science as new findings in organizational behavior studies and recognition of transformational leaders, as well as the positive impacts of the characteristics of them on individuals and followers. © 2020, Emerald Publishing Limited.",2020,International Journal of Law and Management,Service quality SERVPERF scale; Team performance; Transformational leadership; Trust,Service quality SERVPERF scale; Team performance; Transformational leadership; Trust
"Kampe L., Goehlich V., Wüst K.",57376434100;57188554457;6602781449;,The Impact of Culture on the Perception of Young Japanese and Germans in the Management of the Corona Crisis by their Government,organizational,organizational,"This article addresses the extent to which culture has an impact in crisis management at the government level, exemplified by the corona crisis in Germany and Japan. The cultural dimensions of the Global Leadership and Organizational Behavior Effectiveness study provide a central framework for the study, enabling a comparison of the cultures. The findings suggest that cultural principles can shape crisis management in practice. However, values and ideals are significantly modified by the crisis. Through our developed framework, the cultural and crisis barriers can be identified and thus solutions can be found to operate more efficiently a successful crisis management. © 2021, The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature.",2021,Public Organization Review,Corona crisis; Crisis management; Culture; Germany; Government; Japan,Corona crisis; Crisis management; Culture; Germany; Government; Japan
"Campbell K.S., Lam C.",7402004420;24724602000;,The effect of leader rapport-management feedback on leader–member relationship quality and perceived group effectiveness in student teams,organizational,organizational,"Background: Preparing students to work on teams in the workplace is both important and challenging. The transfer of learning from school to work requires that faculty provide guidance to support teamwork processes, including team communication. Literature review: Leader communication, especially when nondirective, has been associated with team success. Nondirective leaders influence others and develop quality relationships through personal rather than position power. Personal power is created partly through interactions in which a leader’s linguistic behavior effectively manages rapport with team members. Research questions: We wanted to explore the influence of team member feedback on leader rapport management, leader–member relationship quality, and perceived team effectiveness. Research methodology: We designed a feedback intervention that was delivered to team leaders within multidisciplinary student teams in a technical writing course. The study was a traditional, intervention-based, between-subjects quasi-experiment. Results/discussion: Despite its singular focus on team leader behavior, the intervention resulted in higher perceived group effectiveness. Although leader rapport management and leader–member relationship quality were higher in teams with feedback intervention, the effects were not statistically significant. Conclusion: We discuss several potential causes of our results, including several options for future research. Ultimately, because the intervention is simple to create and efficient to share, we conclude that it can supply instructors with one useful tool for intervening in student teamwork processes to improve team outcomes and for emphasizing the importance of interpersonal communication and leadership in teams. © 2019 IEEE.",2019,IEEE Transactions on Professional Communication,Feedback; Interpersonal communication; Leadership; Rapport; Teams,Feedback; Interpersonal communication; Leadership; Rapport; Teams
"Suseno Y., Pinnington A.H.",8750734000;6603278162;,The war for talent: human capital challenges for professional service firms,organizational,organizational,"Professional service firms face particular human capital challenges. This study reflects on the distinctive characteristics of professional service firms through the concepts of knowledge intensity, low capital intensity and professionalized workforce. Based on in-depth interviews with 21 partners of Australian law firms, we provide empirical evidence on the war for talent challenges faced by professional service firms and in particular, law firms. The findings point to talent management challenges including reputation building and maintenance, employee autonomy, knowledge acquisition, revenue and profitability through internationalization, managing knowledge across borders, managing employee mobility, talent acquisition and retention, talent engagement, performance management and developing leadership capability. These challenges are important issues to be considered by professional service firms as they attempt to compete more effectively in global business contexts. © 2017 Informa UK Limited, trading as Taylor & Francis Group.",2017,Asia Pacific Business Review,Human capital challenges; human resource management; professional service firms; war for talent,Human capital challenges; human resource management; professional service firms; war for talent
